,user_ID,followers_count,user_location,user_description,date,text,hashtags
0,829318199468490752,294,Eora Nation,PhD candidate in gender and cultural studies @Sydney_Uni. He/him.,2021-10-27 11:59:28,"New research out finds that #acupuncture reduces #depression &amp; enhances SSRI performance https://t.co/TIBa8O94vm 
We've always known how beneficial it is, so its good to have the evidence to back it up. Acupuncture can really help!

#mentalhealth https://t.co/OtkjCKTKX4",
1,415086641,432,London,Children’s Book Illustrator 🎨 & former @pathwaysinto Mentee 🖍️ https://t.co/13CCOFiD3f 🖍 Represented by @HemingwayLorna @BLM_Agency,2021-10-27 11:51:28,"New research out finds that #acupuncture reduces #depression &amp; enhances SSRI performance https://t.co/TIBa8O94vm 
We've always known how beneficial it is, so its good to have the evidence to back it up. Acupuncture can really help!

#mentalhealth https://t.co/OtkjCKTKX4",['ocd']
2,1311981838026657792,17,,"One of the greatest regrets in life is being what others would want you to be, rather than being yourself.

Shannon L. Alder",2021-10-27 11:26:01,"New research out finds that #acupuncture reduces #depression &amp; enhances SSRI performance https://t.co/TIBa8O94vm 
We've always known how beneficial it is, so its good to have the evidence to back it up. Acupuncture can really help!

#mentalhealth https://t.co/OtkjCKTKX4",['oknottobeok']
3,89962967,29198,"Boulder CO, USA","Peter Strong - Psychotherapist specializing in #MindfulnessTherapy via Skype for #Anxiety, #Agoraphobia, #OCD, #Depression, #PTSD & #Addiction. #OnlineTherapy",2021-10-27 11:25:00,"New research out finds that #acupuncture reduces #depression &amp; enhances SSRI performance https://t.co/TIBa8O94vm 
We've always known how beneficial it is, so its good to have the evidence to back it up. Acupuncture can really help!

#mentalhealth https://t.co/OtkjCKTKX4",['OCD']
4,885311783795212288,981,Hell,"A free thinker and freelance writer

follow me on
Readcash: https://t.co/y6u8LRptoP
HiveBlog: https://t.co/PYIoXZodvV",2021-10-27 11:06:55,"New research out finds that #acupuncture reduces #depression &amp; enhances SSRI performance https://t.co/TIBa8O94vm 
We've always known how beneficial it is, so its good to have the evidence to back it up. Acupuncture can really help!

#mentalhealth https://t.co/OtkjCKTKX4",
5,894509027366973440,9,Mayfair,Stress reduction and personal  transformation clinic in London Mayfair.,2021-10-27 11:01:25,"New research out finds that #acupuncture reduces #depression &amp; enhances SSRI performance https://t.co/TIBa8O94vm 
We've always known how beneficial it is, so its good to have the evidence to back it up. Acupuncture can really help!

#mentalhealth https://t.co/OtkjCKTKX4","['depression', 'mentalhealth']"
6,48743186,63955,lilybaileyuk@gmail.com,"Writer and oversharing dog mum. Author of Because We Are Bad, a book about living with #OCD. Hosting #OCDTalkHour on Twitter every Wednesday 7pm UK time",2021-10-27 11:01:02,"New research out finds that #acupuncture reduces #depression &amp; enhances SSRI performance https://t.co/TIBa8O94vm 
We've always known how beneficial it is, so its good to have the evidence to back it up. Acupuncture can really help!

#mentalhealth https://t.co/OtkjCKTKX4","['OCDTalkHour', 'OCD']"
7,20533552,140326,UK,The UK's leading anxiety charity.   For support call 03444 775 774 or ask Anxia at https://t.co/M60j4pn9yZ.   We're sorry we can't provide direct support via Twitter.,2021-10-27 11:00:45,"New research out finds that #acupuncture reduces #depression &amp; enhances SSRI performance https://t.co/TIBa8O94vm 
We've always known how beneficial it is, so its good to have the evidence to back it up. Acupuncture can really help!

#mentalhealth https://t.co/OtkjCKTKX4","['Obsessive', 'Compulsive', 'Disorder', 'OCD', 'anxiety']"
8,2244058202,2004,,"Fairly normal lady, my opinions are my own, retweet’s are not endorsements. No DM’s #freethechildren #commonsense #criticalthinking #ifollowback",2021-10-27 10:59:07,"New research out finds that #acupuncture reduces #depression &amp; enhances SSRI performance https://t.co/TIBa8O94vm 
We've always known how beneficial it is, so its good to have the evidence to back it up. Acupuncture can really help!

#mentalhealth https://t.co/OtkjCKTKX4",['yesitidiedup']
9,1427274772518408201,2,"London, England",,2021-10-27 10:56:41,"New research out finds that #acupuncture reduces #depression &amp; enhances SSRI performance https://t.co/TIBa8O94vm 
We've always known how beneficial it is, so its good to have the evidence to back it up. Acupuncture can really help!

#mentalhealth https://t.co/OtkjCKTKX4","['Obsessive', 'disorder']"
10,89962967,29198,"Boulder CO, USA","Peter Strong - Psychotherapist specializing in #MindfulnessTherapy via Skype for #Anxiety, #Agoraphobia, #OCD, #Depression, #PTSD & #Addiction. #OnlineTherapy",2021-10-27 10:50:00,"New research out finds that #acupuncture reduces #depression &amp; enhances SSRI performance https://t.co/TIBa8O94vm 
We've always known how beneficial it is, so its good to have the evidence to back it up. Acupuncture can really help!

#mentalhealth https://t.co/OtkjCKTKX4",
11,1436258074852044830,73,,"Anonymised account discussing day to day life, #Mentalhealth, #Bipolar, #Anxiety, and #OCD. UK based. 🏳️‍🌈",2021-10-27 10:37:33,"New research out finds that #acupuncture reduces #depression &amp; enhances SSRI performance https://t.co/TIBa8O94vm 
We've always known how beneficial it is, so its good to have the evidence to back it up. Acupuncture can really help!

#mentalhealth https://t.co/OtkjCKTKX4",
12,89962967,29198,"Boulder CO, USA","Peter Strong - Psychotherapist specializing in #MindfulnessTherapy via Skype for #Anxiety, #Agoraphobia, #OCD, #Depression, #PTSD & #Addiction. #OnlineTherapy",2021-10-27 10:20:00,"New research out finds that #acupuncture reduces #depression &amp; enhances SSRI performance https://t.co/TIBa8O94vm 
We've always known how beneficial it is, so its good to have the evidence to back it up. Acupuncture can really help!

#mentalhealth https://t.co/OtkjCKTKX4",
13,1379966806098542594,31,,Photographer - Nature lover - Outdoor activity - Local guide - Travel,2021-10-27 09:44:38,"New research out finds that #acupuncture reduces #depression &amp; enhances SSRI performance https://t.co/TIBa8O94vm 
We've always known how beneficial it is, so its good to have the evidence to back it up. Acupuncture can really help!

#mentalhealth https://t.co/OtkjCKTKX4","['hive', 'wednesdaywalk', 'nature', 'posh', 'ocd']"
