Source (A),Source (B),Source (C),Source (D),Source (E),Source (F),Source (G),Source (H),WC,Analytic,Clout,Authentic,Tone,WPS,Sixltr,Dic,affect,posemo,negemo,anx,anger,sad,social,family,friend,female,male,cogproc,insight,cause,discrep,tentat,certain,differ,drives,affiliation,achieve,power,reward,risk,focuspast,focuspresent,focusfuture,informal,swear,netspeak,assent,nonflu,filler
0,829318199468490752,294,Eora Nation,PhD candidate in gender and cultural studies @Sydney_Uni. He/him.,2021-10-27 11:59:28,"New research out finds that #acupuncture reduces #depression &amp; enhances SSRI performance https://t.co/TIBa8O94vm 
We've always known how beneficial it is, so its good to have the evidence to back it up. Acupuncture can really help!

#mentalhealth https://t.co/OtkjCKTKX4",,45,46.37,67.16,43.37,67.75,15.00,26.67,66.67,6.67,4.44,2.22,0.00,0.00,2.22,4.44,0.00,0.00,0.00,0.00,13.33,6.67,2.22,0.00,0.00,2.22,2.22,8.89,4.44,0.00,4.44,2.22,0.00,4.44,6.67,0.00,4.44,0.00,4.44,0.00,0.00,0.00
1,415086641,432,London,Children’s Book Illustrator 🎨 & former @pathwaysinto Mentee 🖍️ https://t.co/13CCOFiD3f 🖍 Represented by @HemingwayLorna @BLM_Agency,2021-10-27 11:51:28,"New research out finds that #acupuncture reduces #depression &amp; enhances SSRI performance https://t.co/TIBa8O94vm 
We've always known how beneficial it is, so its good to have the evidence to back it up. Acupuncture can really help!

#mentalhealth https://t.co/OtkjCKTKX4",['ocd'],45,46.37,67.16,43.37,67.75,15.00,26.67,66.67,6.67,4.44,2.22,0.00,0.00,2.22,4.44,0.00,0.00,0.00,0.00,13.33,6.67,2.22,0.00,0.00,2.22,2.22,8.89,4.44,0.00,4.44,2.22,0.00,4.44,6.67,0.00,4.44,0.00,4.44,0.00,0.00,0.00
2,1311981838026657792,17,,"One of the greatest regrets in life is being what others would want you to be, rather than being yourself.

Shannon L. Alder",2021-10-27 11:26:01,"New research out finds that #acupuncture reduces #depression &amp; enhances SSRI performance https://t.co/TIBa8O94vm 
We've always known how beneficial it is, so its good to have the evidence to back it up. Acupuncture can really help!

#mentalhealth https://t.co/OtkjCKTKX4",['oknottobeok'],45,46.37,67.16,43.37,67.75,15.00,26.67,66.67,6.67,4.44,2.22,0.00,0.00,2.22,4.44,0.00,0.00,0.00,0.00,13.33,6.67,2.22,0.00,0.00,2.22,2.22,8.89,4.44,0.00,4.44,2.22,0.00,4.44,6.67,0.00,4.44,0.00,4.44,0.00,0.00,0.00
3,89962967,29198,"Boulder CO, USA","Peter Strong - Psychotherapist specializing in #MindfulnessTherapy via Skype for #Anxiety, #Agoraphobia, #OCD, #Depression, #PTSD & #Addiction. #OnlineTherapy",2021-10-27 11:25:00,"New research out finds that #acupuncture reduces #depression &amp; enhances SSRI performance https://t.co/TIBa8O94vm 
We've always known how beneficial it is, so its good to have the evidence to back it up. Acupuncture can really help!

#mentalhealth https://t.co/OtkjCKTKX4",['OCD'],45,46.37,67.16,43.37,67.75,15.00,26.67,66.67,6.67,4.44,2.22,0.00,0.00,2.22,4.44,0.00,0.00,0.00,0.00,13.33,6.67,2.22,0.00,0.00,2.22,2.22,8.89,4.44,0.00,4.44,2.22,0.00,4.44,6.67,0.00,4.44,0.00,4.44,0.00,0.00,0.00
4,885311783795212288,981,Hell,"A free thinker and freelance writer

follow me on
Readcash: https://t.co/y6u8LRptoP
HiveBlog: https://t.co/PYIoXZodvV",2021-10-27 11:06:55,"New research out finds that #acupuncture reduces #depression &amp; enhances SSRI performance https://t.co/TIBa8O94vm 
We've always known how beneficial it is, so its good to have the evidence to back it up. Acupuncture can really help!

#mentalhealth https://t.co/OtkjCKTKX4",,45,46.37,67.16,43.37,67.75,15.00,26.67,66.67,6.67,4.44,2.22,0.00,0.00,2.22,4.44,0.00,0.00,0.00,0.00,13.33,6.67,2.22,0.00,0.00,2.22,2.22,8.89,4.44,0.00,4.44,2.22,0.00,4.44,6.67,0.00,4.44,0.00,4.44,0.00,0.00,0.00
5,894509027366973440,9,Mayfair,Stress reduction and personal  transformation clinic in London Mayfair.,2021-10-27 11:01:25,"New research out finds that #acupuncture reduces #depression &amp; enhances SSRI performance https://t.co/TIBa8O94vm 
We've always known how beneficial it is, so its good to have the evidence to back it up. Acupuncture can really help!

#mentalhealth https://t.co/OtkjCKTKX4","['depression', 'mentalhealth']",45,46.37,67.16,43.37,67.75,15.00,26.67,66.67,6.67,4.44,2.22,0.00,0.00,2.22,4.44,0.00,0.00,0.00,0.00,13.33,6.67,2.22,0.00,0.00,2.22,2.22,8.89,4.44,0.00,4.44,2.22,0.00,4.44,6.67,0.00,4.44,0.00,4.44,0.00,0.00,0.00
6,48743186,63955,lilybaileyuk@gmail.com,"Writer and oversharing dog mum. Author of Because We Are Bad, a book about living with #OCD. Hosting #OCDTalkHour on Twitter every Wednesday 7pm UK time",2021-10-27 11:01:02,"New research out finds that #acupuncture reduces #depression &amp; enhances SSRI performance https://t.co/TIBa8O94vm 
We've always known how beneficial it is, so its good to have the evidence to back it up. Acupuncture can really help!

#mentalhealth https://t.co/OtkjCKTKX4","['OCDTalkHour', 'OCD']",45,46.37,67.16,43.37,67.75,15.00,26.67,66.67,6.67,4.44,2.22,0.00,0.00,2.22,4.44,0.00,0.00,0.00,0.00,13.33,6.67,2.22,0.00,0.00,2.22,2.22,8.89,4.44,0.00,4.44,2.22,0.00,4.44,6.67,0.00,4.44,0.00,4.44,0.00,0.00,0.00
7,20533552,140326,UK,The UK's leading anxiety charity.   For support call 03444 775 774 or ask Anxia at https://t.co/M60j4pn9yZ.   We're sorry we can't provide direct support via Twitter.,2021-10-27 11:00:45,"New research out finds that #acupuncture reduces #depression &amp; enhances SSRI performance https://t.co/TIBa8O94vm 
We've always known how beneficial it is, so its good to have the evidence to back it up. Acupuncture can really help!

#mentalhealth https://t.co/OtkjCKTKX4","['Obsessive', 'Compulsive', 'Disorder', 'OCD', 'anxiety']",45,46.37,67.16,43.37,67.75,15.00,26.67,66.67,6.67,4.44,2.22,0.00,0.00,2.22,4.44,0.00,0.00,0.00,0.00,13.33,6.67,2.22,0.00,0.00,2.22,2.22,8.89,4.44,0.00,4.44,2.22,0.00,4.44,6.67,0.00,4.44,0.00,4.44,0.00,0.00,0.00
8,2244058202,2004,,"Fairly normal lady, my opinions are my own, retweet’s are not endorsements. No DM’s #freethechildren #commonsense #criticalthinking #ifollowback",2021-10-27 10:59:07,"New research out finds that #acupuncture reduces #depression &amp; enhances SSRI performance https://t.co/TIBa8O94vm 
We've always known how beneficial it is, so its good to have the evidence to back it up. Acupuncture can really help!

#mentalhealth https://t.co/OtkjCKTKX4",['yesitidiedup'],45,46.37,67.16,43.37,67.75,15.00,26.67,66.67,6.67,4.44,2.22,0.00,0.00,2.22,4.44,0.00,0.00,0.00,0.00,13.33,6.67,2.22,0.00,0.00,2.22,2.22,8.89,4.44,0.00,4.44,2.22,0.00,4.44,6.67,0.00,4.44,0.00,4.44,0.00,0.00,0.00
9,1427274772518408201,2,"London, England",,2021-10-27 10:56:41,"New research out finds that #acupuncture reduces #depression &amp; enhances SSRI performance https://t.co/TIBa8O94vm 
We've always known how beneficial it is, so its good to have the evidence to back it up. Acupuncture can really help!

#mentalhealth https://t.co/OtkjCKTKX4","['Obsessive', 'disorder']",45,46.37,67.16,43.37,67.75,15.00,26.67,66.67,6.67,4.44,2.22,0.00,0.00,2.22,4.44,0.00,0.00,0.00,0.00,13.33,6.67,2.22,0.00,0.00,2.22,2.22,8.89,4.44,0.00,4.44,2.22,0.00,4.44,6.67,0.00,4.44,0.00,4.44,0.00,0.00,0.00
10,89962967,29198,"Boulder CO, USA","Peter Strong - Psychotherapist specializing in #MindfulnessTherapy via Skype for #Anxiety, #Agoraphobia, #OCD, #Depression, #PTSD & #Addiction. #OnlineTherapy",2021-10-27 10:50:00,"New research out finds that #acupuncture reduces #depression &amp; enhances SSRI performance https://t.co/TIBa8O94vm 
We've always known how beneficial it is, so its good to have the evidence to back it up. Acupuncture can really help!

#mentalhealth https://t.co/OtkjCKTKX4",,45,46.37,67.16,43.37,67.75,15.00,26.67,66.67,6.67,4.44,2.22,0.00,0.00,2.22,4.44,0.00,0.00,0.00,0.00,13.33,6.67,2.22,0.00,0.00,2.22,2.22,8.89,4.44,0.00,4.44,2.22,0.00,4.44,6.67,0.00,4.44,0.00,4.44,0.00,0.00,0.00
11,1436258074852044830,73,,"Anonymised account discussing day to day life, #Mentalhealth, #Bipolar, #Anxiety, and #OCD. UK based. 🏳️‍🌈",2021-10-27 10:37:33,"New research out finds that #acupuncture reduces #depression &amp; enhances SSRI performance https://t.co/TIBa8O94vm 
We've always known how beneficial it is, so its good to have the evidence to back it up. Acupuncture can really help!

#mentalhealth https://t.co/OtkjCKTKX4",,45,46.37,67.16,43.37,67.75,15.00,26.67,66.67,6.67,4.44,2.22,0.00,0.00,2.22,4.44,0.00,0.00,0.00,0.00,13.33,6.67,2.22,0.00,0.00,2.22,2.22,8.89,4.44,0.00,4.44,2.22,0.00,4.44,6.67,0.00,4.44,0.00,4.44,0.00,0.00,0.00
12,89962967,29198,"Boulder CO, USA","Peter Strong - Psychotherapist specializing in #MindfulnessTherapy via Skype for #Anxiety, #Agoraphobia, #OCD, #Depression, #PTSD & #Addiction. #OnlineTherapy",2021-10-27 10:20:00,"New research out finds that #acupuncture reduces #depression &amp; enhances SSRI performance https://t.co/TIBa8O94vm 
We've always known how beneficial it is, so its good to have the evidence to back it up. Acupuncture can really help!

#mentalhealth https://t.co/OtkjCKTKX4",,45,46.37,67.16,43.37,67.75,15.00,26.67,66.67,6.67,4.44,2.22,0.00,0.00,2.22,4.44,0.00,0.00,0.00,0.00,13.33,6.67,2.22,0.00,0.00,2.22,2.22,8.89,4.44,0.00,4.44,2.22,0.00,4.44,6.67,0.00,4.44,0.00,4.44,0.00,0.00,0.00
13,1379966806098542594,31,,Photographer - Nature lover - Outdoor activity - Local guide - Travel,2021-10-27 09:44:38,"New research out finds that #acupuncture reduces #depression &amp; enhances SSRI performance https://t.co/TIBa8O94vm 
We've always known how beneficial it is, so its good to have the evidence to back it up. Acupuncture can really help!

#mentalhealth https://t.co/OtkjCKTKX4","['hive', 'wednesdaywalk', 'nature', 'posh', 'ocd']",45,46.37,67.16,43.37,67.75,15.00,26.67,66.67,6.67,4.44,2.22,0.00,0.00,2.22,4.44,0.00,0.00,0.00,0.00,13.33,6.67,2.22,0.00,0.00,2.22,2.22,8.89,4.44,0.00,4.44,2.22,0.00,4.44,6.67,0.00,4.44,0.00,4.44,0.00,0.00,0.00
14,1164457602203443201,42,,"выживут только фрилансеры © 
криптоентузіаст, криптоблогер",2021-10-27 09:43:05,"New research out finds that #acupuncture reduces #depression &amp; enhances SSRI performance https://t.co/TIBa8O94vm 
We've always known how beneficial it is, so its good to have the evidence to back it up. Acupuncture can really help!

#mentalhealth https://t.co/OtkjCKTKX4","['hive', 'Ukraine', 'Odesa', 'travel', 'architecture', 'pinmapple', 'OCD']",45,46.37,67.16,43.37,67.75,15.00,26.67,66.67,6.67,4.44,2.22,0.00,0.00,2.22,4.44,0.00,0.00,0.00,0.00,13.33,6.67,2.22,0.00,0.00,2.22,2.22,8.89,4.44,0.00,4.44,2.22,0.00,4.44,6.67,0.00,4.44,0.00,4.44,0.00,0.00,0.00
15,915134975246090240,242,"Canterbury Region, New Zealand","Sex work is a legitimate profession & needs equality for a safer, ethical industry. People fuck, some of us get paid for it. vaginas are fantastic",2021-10-27 09:28:13,"New research out finds that #acupuncture reduces #depression &amp; enhances SSRI performance https://t.co/TIBa8O94vm 
We've always known how beneficial it is, so its good to have the evidence to back it up. Acupuncture can really help!

#mentalhealth https://t.co/OtkjCKTKX4","['PMDD', 'ADHD', 'OCD']",45,46.37,67.16,43.37,67.75,15.00,26.67,66.67,6.67,4.44,2.22,0.00,0.00,2.22,4.44,0.00,0.00,0.00,0.00,13.33,6.67,2.22,0.00,0.00,2.22,2.22,8.89,4.44,0.00,4.44,2.22,0.00,4.44,6.67,0.00,4.44,0.00,4.44,0.00,0.00,0.00
16,89962967,29198,"Boulder CO, USA","Peter Strong - Psychotherapist specializing in #MindfulnessTherapy via Skype for #Anxiety, #Agoraphobia, #OCD, #Depression, #PTSD & #Addiction. #OnlineTherapy",2021-10-27 09:10:01,"New research out finds that #acupuncture reduces #depression &amp; enhances SSRI performance https://t.co/TIBa8O94vm 
We've always known how beneficial it is, so its good to have the evidence to back it up. Acupuncture can really help!

#mentalhealth https://t.co/OtkjCKTKX4","['OCD', 'OCDrecovery', 'OCDawareness', 'IntrusiveThoughts']",45,46.37,67.16,43.37,67.75,15.00,26.67,66.67,6.67,4.44,2.22,0.00,0.00,2.22,4.44,0.00,0.00,0.00,0.00,13.33,6.67,2.22,0.00,0.00,2.22,2.22,8.89,4.44,0.00,4.44,2.22,0.00,4.44,6.67,0.00,4.44,0.00,4.44,0.00,0.00,0.00
17,1436258074852044830,73,,"Anonymised account discussing day to day life, #Mentalhealth, #Bipolar, #Anxiety, and #OCD. UK based. 🏳️‍🌈",2021-10-27 09:09:51,"New research out finds that #acupuncture reduces #depression &amp; enhances SSRI performance https://t.co/TIBa8O94vm 
We've always known how beneficial it is, so its good to have the evidence to back it up. Acupuncture can really help!

#mentalhealth https://t.co/OtkjCKTKX4",['PrivatePractice'],45,46.37,67.16,43.37,67.75,15.00,26.67,66.67,6.67,4.44,2.22,0.00,0.00,2.22,4.44,0.00,0.00,0.00,0.00,13.33,6.67,2.22,0.00,0.00,2.22,2.22,8.89,4.44,0.00,4.44,2.22,0.00,4.44,6.67,0.00,4.44,0.00,4.44,0.00,0.00,0.00
18,1436258074852044830,73,,"Anonymised account discussing day to day life, #Mentalhealth, #Bipolar, #Anxiety, and #OCD. UK based. 🏳️‍🌈",2021-10-27 09:01:42,"New research out finds that #acupuncture reduces #depression &amp; enhances SSRI performance https://t.co/TIBa8O94vm 
We've always known how beneficial it is, so its good to have the evidence to back it up. Acupuncture can really help!

#mentalhealth https://t.co/OtkjCKTKX4",,45,46.37,67.16,43.37,67.75,15.00,26.67,66.67,6.67,4.44,2.22,0.00,0.00,2.22,4.44,0.00,0.00,0.00,0.00,13.33,6.67,2.22,0.00,0.00,2.22,2.22,8.89,4.44,0.00,4.44,2.22,0.00,4.44,6.67,0.00,4.44,0.00,4.44,0.00,0.00,0.00
19,1066866981654208514,290,"Luton, England",Helping young minds reach their potential! Retweets not endorsements. #LeadTheChange,2021-10-27 08:57:26,"New research out finds that #acupuncture reduces #depression &amp; enhances SSRI performance https://t.co/TIBa8O94vm 
We've always known how beneficial it is, so its good to have the evidence to back it up. Acupuncture can really help!

#mentalhealth https://t.co/OtkjCKTKX4","['WellbeingWednesday', 'OCD', 'OCDAwarenessWeek']",45,46.37,67.16,43.37,67.75,15.00,26.67,66.67,6.67,4.44,2.22,0.00,0.00,2.22,4.44,0.00,0.00,0.00,0.00,13.33,6.67,2.22,0.00,0.00,2.22,2.22,8.89,4.44,0.00,4.44,2.22,0.00,4.44,6.67,0.00,4.44,0.00,4.44,0.00,0.00,0.00
20,89962967,29198,"Boulder CO, USA","Peter Strong - Psychotherapist specializing in #MindfulnessTherapy via Skype for #Anxiety, #Agoraphobia, #OCD, #Depression, #PTSD & #Addiction. #OnlineTherapy",2021-10-27 08:55:01,"New research out finds that #acupuncture reduces #depression &amp; enhances SSRI performance https://t.co/TIBa8O94vm 
We've always known how beneficial it is, so its good to have the evidence to back it up. Acupuncture can really help!

#mentalhealth https://t.co/OtkjCKTKX4",['OCD'],45,46.37,67.16,43.37,67.75,15.00,26.67,66.67,6.67,4.44,2.22,0.00,0.00,2.22,4.44,0.00,0.00,0.00,0.00,13.33,6.67,2.22,0.00,0.00,2.22,2.22,8.89,4.44,0.00,4.44,2.22,0.00,4.44,6.67,0.00,4.44,0.00,4.44,0.00,0.00,0.00
21,3400263531,540,"Dronfield, England",Private Psychological Therapies for mental health problems in Dronfield,2021-10-27 08:40:51,"New research out finds that #acupuncture reduces #depression &amp; enhances SSRI performance https://t.co/TIBa8O94vm 
We've always known how beneficial it is, so its good to have the evidence to back it up. Acupuncture can really help!

#mentalhealth https://t.co/OtkjCKTKX4","['anxiety', 'Chesterfield', 'depression', 'Dronfield', 'Derbyshire', 'sheffield', 'OCD']",45,46.37,67.16,43.37,67.75,15.00,26.67,66.67,6.67,4.44,2.22,0.00,0.00,2.22,4.44,0.00,0.00,0.00,0.00,13.33,6.67,2.22,0.00,0.00,2.22,2.22,8.89,4.44,0.00,4.44,2.22,0.00,4.44,6.67,0.00,4.44,0.00,4.44,0.00,0.00,0.00
22,905776457502294017,1783,"Wallingford, England",Podcaster|Speaker|Trainer. Supporting teachers to use evidenced based psychology in all aspects of classroom practice. Trying to practice what I preach.,2021-10-27 07:30:17,"New research out finds that #acupuncture reduces #depression &amp; enhances SSRI performance https://t.co/TIBa8O94vm 
We've always known how beneficial it is, so its good to have the evidence to back it up. Acupuncture can really help!

#mentalhealth https://t.co/OtkjCKTKX4","['OCD', 'Psychologyintheclassroom']",45,46.37,67.16,43.37,67.75,15.00,26.67,66.67,6.67,4.44,2.22,0.00,0.00,2.22,4.44,0.00,0.00,0.00,0.00,13.33,6.67,2.22,0.00,0.00,2.22,2.22,8.89,4.44,0.00,4.44,2.22,0.00,4.44,6.67,0.00,4.44,0.00,4.44,0.00,0.00,0.00
23,1360096341536329729,6,"Bathinda, Punjab","A Practice of Ethical Psychiatry, A psychiatric Facility, And a Teaching Clinic For Every Individual. Who Wish To Seek Any Psychological Help...",2021-10-27 07:28:32,"New research out finds that #acupuncture reduces #depression &amp; enhances SSRI performance https://t.co/TIBa8O94vm 
We've always known how beneficial it is, so its good to have the evidence to back it up. Acupuncture can really help!

#mentalhealth https://t.co/OtkjCKTKX4",,45,46.37,67.16,43.37,67.75,15.00,26.67,66.67,6.67,4.44,2.22,0.00,0.00,2.22,4.44,0.00,0.00,0.00,0.00,13.33,6.67,2.22,0.00,0.00,2.22,2.22,8.89,4.44,0.00,4.44,2.22,0.00,4.44,6.67,0.00,4.44,0.00,4.44,0.00,0.00,0.00
24,2894321270,310,,"Following my Drive & Passion wrote TRUE Self-Help Book to Help People #1, & Now a Parents Self-Help Guide for Youngins... Amounts to Self-Help for Families MH!",2021-10-27 07:00:04,"New research out finds that #acupuncture reduces #depression &amp; enhances SSRI performance https://t.co/TIBa8O94vm 
We've always known how beneficial it is, so its good to have the evidence to back it up. Acupuncture can really help!

#mentalhealth https://t.co/OtkjCKTKX4","['Parents', 'Anxiety', 'Depression', 'PTSD', 'OCD', 'AddictionRecovery', 'BPD', 'Bipolar', 'ADHD', 'ADD', 'Selfhelp']",45,46.37,67.16,43.37,67.75,15.00,26.67,66.67,6.67,4.44,2.22,0.00,0.00,2.22,4.44,0.00,0.00,0.00,0.00,13.33,6.67,2.22,0.00,0.00,2.22,2.22,8.89,4.44,0.00,4.44,2.22,0.00,4.44,6.67,0.00,4.44,0.00,4.44,0.00,0.00,0.00
25,89962967,29198,"Boulder CO, USA","Peter Strong - Psychotherapist specializing in #MindfulnessTherapy via Skype for #Anxiety, #Agoraphobia, #OCD, #Depression, #PTSD & #Addiction. #OnlineTherapy",2021-10-27 06:50:00,"New research out finds that #acupuncture reduces #depression &amp; enhances SSRI performance https://t.co/TIBa8O94vm 
We've always known how beneficial it is, so its good to have the evidence to back it up. Acupuncture can really help!

#mentalhealth https://t.co/OtkjCKTKX4",,45,46.37,67.16,43.37,67.75,15.00,26.67,66.67,6.67,4.44,2.22,0.00,0.00,2.22,4.44,0.00,0.00,0.00,0.00,13.33,6.67,2.22,0.00,0.00,2.22,2.22,8.89,4.44,0.00,4.44,2.22,0.00,4.44,6.67,0.00,4.44,0.00,4.44,0.00,0.00,0.00
26,186018397,11748,"Scotland, United Kingdom",,2021-10-27 06:45:07,"New research out finds that #acupuncture reduces #depression &amp; enhances SSRI performance https://t.co/TIBa8O94vm 
We've always known how beneficial it is, so its good to have the evidence to back it up. Acupuncture can really help!

#mentalhealth https://t.co/OtkjCKTKX4",['OCD'],45,46.37,67.16,43.37,67.75,15.00,26.67,66.67,6.67,4.44,2.22,0.00,0.00,2.22,4.44,0.00,0.00,0.00,0.00,13.33,6.67,2.22,0.00,0.00,2.22,2.22,8.89,4.44,0.00,4.44,2.22,0.00,4.44,6.67,0.00,4.44,0.00,4.44,0.00,0.00,0.00
27,1363612613201002498,421,hogwarts,"Sex Worker
Smutlancer 
NSFW Sex Blogger
#Bipolar1 #borderline #OCD #recoveringaddict 
#bisexual #Author #AMA #poet #WritingCommunity",2021-10-27 06:12:22,"New research out finds that #acupuncture reduces #depression &amp; enhances SSRI performance https://t.co/TIBa8O94vm 
We've always known how beneficial it is, so its good to have the evidence to back it up. Acupuncture can really help!

#mentalhealth https://t.co/OtkjCKTKX4",['depression'],45,46.37,67.16,43.37,67.75,15.00,26.67,66.67,6.67,4.44,2.22,0.00,0.00,2.22,4.44,0.00,0.00,0.00,0.00,13.33,6.67,2.22,0.00,0.00,2.22,2.22,8.89,4.44,0.00,4.44,2.22,0.00,4.44,6.67,0.00,4.44,0.00,4.44,0.00,0.00,0.00
28,1385983441716535297,150,UK,"“People can lose their lives in libraries. They ought to be warned.”  Saul Bellow

You can find me over on A Thousand Suns where I talk about #books #poetry",2021-10-27 05:53:01,"New research out finds that #acupuncture reduces #depression &amp; enhances SSRI performance https://t.co/TIBa8O94vm 
We've always known how beneficial it is, so its good to have the evidence to back it up. Acupuncture can really help!

#mentalhealth https://t.co/OtkjCKTKX4",['TuesdayBookBlog'],45,46.37,67.16,43.37,67.75,15.00,26.67,66.67,6.67,4.44,2.22,0.00,0.00,2.22,4.44,0.00,0.00,0.00,0.00,13.33,6.67,2.22,0.00,0.00,2.22,2.22,8.89,4.44,0.00,4.44,2.22,0.00,4.44,6.67,0.00,4.44,0.00,4.44,0.00,0.00,0.00
29,831517369268895744,178,,,2021-10-27 05:45:57,"New research out finds that #acupuncture reduces #depression &amp; enhances SSRI performance https://t.co/TIBa8O94vm 
We've always known how beneficial it is, so its good to have the evidence to back it up. Acupuncture can really help!

#mentalhealth https://t.co/OtkjCKTKX4","['photography', 'culture', 'bilbaobilbao2021', 'Bilbao', 'WednesdayWalk', 'OCD', 'hive']",45,46.37,67.16,43.37,67.75,15.00,26.67,66.67,6.67,4.44,2.22,0.00,0.00,2.22,4.44,0.00,0.00,0.00,0.00,13.33,6.67,2.22,0.00,0.00,2.22,2.22,8.89,4.44,0.00,4.44,2.22,0.00,4.44,6.67,0.00,4.44,0.00,4.44,0.00,0.00,0.00
30,945927333189316608,116,India,"My travels, my passions, my varied interests, my memories and those of others, all find their way into the #Stories.  #Podcast #SliceOfLifeStories #Lifestories",2021-10-27 05:27:35,"New research out finds that #acupuncture reduces #depression &amp; enhances SSRI performance https://t.co/TIBa8O94vm 
We've always known how beneficial it is, so its good to have the evidence to back it up. Acupuncture can really help!

#mentalhealth https://t.co/OtkjCKTKX4","['TheShadowOfTheGirl', 'Podcast', 'Work', 'HomeHelp', 'OCD', 'EveryStepMatters', 'Loyalty']",45,46.37,67.16,43.37,67.75,15.00,26.67,66.67,6.67,4.44,2.22,0.00,0.00,2.22,4.44,0.00,0.00,0.00,0.00,13.33,6.67,2.22,0.00,0.00,2.22,2.22,8.89,4.44,0.00,4.44,2.22,0.00,4.44,6.67,0.00,4.44,0.00,4.44,0.00,0.00,0.00
31,1113456354222661633,1379,"Texas, USA","#Gamer 🎮 #Streamer. #TwitchAffiliate 📺All Things @Bethesda: (@ElderScrolls, @Fallout) and RPG",2021-10-27 04:52:50,"New research out finds that #acupuncture reduces #depression &amp; enhances SSRI performance https://t.co/TIBa8O94vm 
We've always known how beneficial it is, so its good to have the evidence to back it up. Acupuncture can really help!

#mentalhealth https://t.co/OtkjCKTKX4",,45,46.37,67.16,43.37,67.75,15.00,26.67,66.67,6.67,4.44,2.22,0.00,0.00,2.22,4.44,0.00,0.00,0.00,0.00,13.33,6.67,2.22,0.00,0.00,2.22,2.22,8.89,4.44,0.00,4.44,2.22,0.00,4.44,6.67,0.00,4.44,0.00,4.44,0.00,0.00,0.00
32,1427274772518408201,2,"London, England",,2021-10-27 04:35:57,"New research out finds that #acupuncture reduces #depression &amp; enhances SSRI performance https://t.co/TIBa8O94vm 
We've always known how beneficial it is, so its good to have the evidence to back it up. Acupuncture can really help!

#mentalhealth https://t.co/OtkjCKTKX4","['OCD', 'WednesdayMorning', 'bipolardisorder', 'anxietyrelief']",45,46.37,67.16,43.37,67.75,15.00,26.67,66.67,6.67,4.44,2.22,0.00,0.00,2.22,4.44,0.00,0.00,0.00,0.00,13.33,6.67,2.22,0.00,0.00,2.22,2.22,8.89,4.44,0.00,4.44,2.22,0.00,4.44,6.67,0.00,4.44,0.00,4.44,0.00,0.00,0.00
33,1976141797,910,United States,"R&D/Retried Comfy place @privategates 
You spend more time on social media than you realize due to harmonical happiness caused by chemicals of conscious mind✝♐",2021-10-27 04:25:06,"New research out finds that #acupuncture reduces #depression &amp; enhances SSRI performance https://t.co/TIBa8O94vm 
We've always known how beneficial it is, so its good to have the evidence to back it up. Acupuncture can really help!

#mentalhealth https://t.co/OtkjCKTKX4",,45,46.37,67.16,43.37,67.75,15.00,26.67,66.67,6.67,4.44,2.22,0.00,0.00,2.22,4.44,0.00,0.00,0.00,0.00,13.33,6.67,2.22,0.00,0.00,2.22,2.22,8.89,4.44,0.00,4.44,2.22,0.00,4.44,6.67,0.00,4.44,0.00,4.44,0.00,0.00,0.00
34,1330201483804028929,11,T. Island,"Parent, writer, student, gamer. Known as Tim in the Deep Silver Twitch Community.",2021-10-27 03:08:26,"New research out finds that #acupuncture reduces #depression &amp; enhances SSRI performance https://t.co/TIBa8O94vm 
We've always known how beneficial it is, so its good to have the evidence to back it up. Acupuncture can really help!

#mentalhealth https://t.co/OtkjCKTKX4",['OCD'],45,46.37,67.16,43.37,67.75,15.00,26.67,66.67,6.67,4.44,2.22,0.00,0.00,2.22,4.44,0.00,0.00,0.00,0.00,13.33,6.67,2.22,0.00,0.00,2.22,2.22,8.89,4.44,0.00,4.44,2.22,0.00,4.44,6.67,0.00,4.44,0.00,4.44,0.00,0.00,0.00
35,1452689713572294659,2,,The truth about our minds.,2021-10-27 02:40:34,"New research out finds that #acupuncture reduces #depression &amp; enhances SSRI performance https://t.co/TIBa8O94vm 
We've always known how beneficial it is, so its good to have the evidence to back it up. Acupuncture can really help!

#mentalhealth https://t.co/OtkjCKTKX4","['selflove', 'anxietyrelief', 'ocd']",45,46.37,67.16,43.37,67.75,15.00,26.67,66.67,6.67,4.44,2.22,0.00,0.00,2.22,4.44,0.00,0.00,0.00,0.00,13.33,6.67,2.22,0.00,0.00,2.22,2.22,8.89,4.44,0.00,4.44,2.22,0.00,4.44,6.67,0.00,4.44,0.00,4.44,0.00,0.00,0.00
36,1396244940062138371,1327,United States,Exposing the Debilitating Truths behind Real Life #OCD | Living with an Invisible Illness | OCD ≠ Tidy | Sharing my #OCD and #ERP Experience,2021-10-27 02:38:38,"New research out finds that #acupuncture reduces #depression &amp; enhances SSRI performance https://t.co/TIBa8O94vm 
We've always known how beneficial it is, so its good to have the evidence to back it up. Acupuncture can really help!

#mentalhealth https://t.co/OtkjCKTKX4",,45,46.37,67.16,43.37,67.75,15.00,26.67,66.67,6.67,4.44,2.22,0.00,0.00,2.22,4.44,0.00,0.00,0.00,0.00,13.33,6.67,2.22,0.00,0.00,2.22,2.22,8.89,4.44,0.00,4.44,2.22,0.00,4.44,6.67,0.00,4.44,0.00,4.44,0.00,0.00,0.00
